,Zipcode,Latitude,Longitude,City,Population,"Avg. Income/H/hold	"
1,94127,37.737,-122.457,"San Francisco, California","20,624",95313.00
2,94105,37.789,-122.395,"San Francisco, California","2,058",88976.00
3,94123,37.800,-122.437,"San Francisco, California","22,903",84710.00
4,94130,37.821,-122.370,"San Francisco, California","1,453",80959.00
5,94131,37.747,-122.443,"San Francisco, California","27,897",76044.00
6,94114,37.758,-122.435,"San Francisco, California","30,574",75727.00
7,94129,37.798,-122.465,"San Francisco, California","2,228",73571.00
8,94116,37.744,-122.487,"San Francisco, California","42,958",66627.00
9,94117,37.771,-122.445,"San Francisco, California","38,738",63983.00
10,94121,37.777,-122.496,"San Francisco, California","42,473",61776.00
11,94118,37.781,-122.462,"San Francisco, California","38,939",61609.00
12,94107,37.769,-122.396,"San Francisco, California","17,368",61362.00
13,94122,37.760,-122.485,"San Francisco, California","55,492",60733.00
14,94112,37.720,-122.443,"San Francisco, California","73,104",57629.00
15,94111,37.802,-122.402,"San Francisco, California","3,335",56569.00
16,94132,37.722,-122.491,"San Francisco, California","26,291",55000.00
17,94115,37.786,-122.437,"San Francisco, California","33,115",54879.00
18,94134,37.721,-122.414,"San Francisco, California","40,134",54342.00
19,94110,37.750,-122.415,"San Francisco, California","74,633",53795.00
20,94109,37.794,-122.422,"San Francisco, California","56,322",43444.00
21,94133,37.802,-122.411,"San Francisco, California","26,827",40990.00
22,94124,37.732,-122.385,"San Francisco, California","33,170",37146.00
23,94108,37.792,-122.409,"San Francisco, California","13,716",31542.00
24,94103,37.773,-122.411,"San Francisco, California","23,016",31131.00
25,94102,37.780,-122.419,"San Francisco, California","28,991",22351.00
26,94104,37.791,-122.402,"San Francisco, California",374,14609.00
27,94128,37.626,-122.386,"San Francisco, California",0,0.00